,portfolio
2021-05-04,-0.021697571394563027
2021-05-05,-0.0014110921667600668
2021-05-06,0.008010175410553927
2021-05-07,0.00814536127641638
2021-05-10,-0.03202601947321553
2021-05-11,-0.0033193375420370744
2021-05-12,-0.028882404720618732
2021-05-13,0.004146537038195294
2021-05-14,0.02702217822360691
2021-05-17,-0.005028713368949568
2021-05-18,-0.009654479125840014
2021-05-19,-0.00019092082818867754
2021-05-20,0.022073357731972325
2021-05-21,-0.0016458152508382552
2021-05-24,0.026073854733957846
2021-05-25,0.002095687214906234
2021-05-26,0.003914929217776542
2021-05-27,-0.004391610618249573
2021-05-28,0.0067763122542831905
2021-06-01,-0.0008632214733743181
2021-06-02,0.004409533717368283
2021-06-03,-0.009780263387363184
2021-06-04,0.02282556566720024
2021-06-07,0.005270713082063297
2021-06-08,-0.0006153757110665778
2021-06-09,-0.0008160198429754781
2021-06-10,0.00816954380162905
2021-06-11,0.005891392460525082
2021-06-14,0.012086164534209494
2021-06-15,-0.008549313643291829
2021-06-16,-0.00048796199136093884
2021-06-17,0.020666447790374496
2021-06-18,-0.005446353489058969
2021-06-21,0.003135527626099171
2021-06-22,0.013540681982055174
2021-06-23,0.006775252070472997
2021-06-24,0.005591567474956843
2021-06-25,-0.0062312590381888595
2021-06-28,0.022631117429540017
2021-06-29,0.00150590706805684
2021-06-30,-0.0014661501893560422
2021-07-01,0.004852605361881715
2021-07-02,0.014650927642496212
2021-07-06,0.006600981540242517
2021-07-07,-0.0009411180070703194
2021-07-08,-0.008143103672075923
2021-07-09,0.006231536129853072
2021-07-12,0.010213907412011622
2021-07-13,-0.0033449036029532253
2021-07-14,-0.0019606924837542996
2021-07-15,-0.01411210112688067
2021-07-16,-0.014976702462382595
2021-07-19,-0.003247219993189667
2021-07-20,0.009814748654929914
2021-07-21,0.011251627005663897
2021-07-22,0.009028999249404507
2021-07-23,0.0124914409638399
2021-07-26,0.0023835214054083185
2021-07-27,-0.011552622717572418
2021-07-28,0.006287366981262372
2021-07-29,0.0022263082636196515
2021-07-30,-0.010017545872339707
2021-08-02,0.004514206845318558
2021-08-03,0.005792025483015446
2021-08-04,0.00537398655036406
2021-08-05,0.00879168966002939
2021-08-06,-0.007076039012129542
2021-08-09,0.0009566093951569931
2021-08-10,-0.006580479102596716
2021-08-11,-0.0036582009635813223
2021-08-12,0.01073114130751946
2021-08-13,0.00468386645519232
2021-08-16,-0.0020669733217992484
2021-08-17,-0.015343897669136746
2021-08-18,-0.00929201507830322
2021-08-19,0.009200865078255994
2021-08-20,0.020242777856926568
2021-08-23,0.022425140857036674
2021-08-24,0.0004206749659744421
2021-08-25,0.0038115938507477277
2021-08-26,-0.006454909391330673
2021-08-27,0.014041386119002039
2021-08-30,0.014944917708730816
2021-08-31,-0.0031451527013239486
2021-09-01,0.002333948240787921
2021-09-02,-0.0031789286902567542
2021-09-03,0.005688764061569621
2021-09-07,0.005441142433550854
2021-09-08,-0.0054040479337648896
2021-09-09,-0.0050420718703871135
2021-09-10,-0.008393638615191422
2021-09-13,-0.000411836758306574
2021-09-14,0.0008272209731024116
2021-09-15,0.007798984673141669
2021-09-16,-0.001367043388809015
2021-09-17,-0.013994456529690181
2021-09-20,-0.025278474161154703
2021-09-21,0.003628592650707288
2021-09-22,0.01157925400248407
2021-09-23,0.009619710769988481
2021-09-24,0.0020973664779046822
2021-09-27,-0.007459758351213587
2021-09-28,-0.03179668352245093
2021-09-29,-0.0018200672579860332
2021-09-30,-0.0030819093513469523
2021-10-01,0.009362566772207766
2021-10-04,-0.026899827232529958
2021-10-05,0.017826645582600026
2021-10-06,0.009041516767109225
2021-10-07,0.008883196155035366
2021-10-08,-0.003891261053933263
2021-10-11,-0.004841354383718956
2021-10-12,-0.002690296707356999
2021-10-13,0.007199669911574133
2021-10-14,0.020660358103789356
2021-10-15,0.008704259683371985
2021-10-18,0.015700279173319988
2021-10-19,0.004631669941753291
2021-10-20,-0.0030106636011813953
2021-10-21,0.011721728792278726
2021-10-22,-0.010586483742614027
2021-10-25,0.017243345634722834
2021-10-26,0.013831127370847908
2021-10-27,0.01012157201966551
2021-10-28,0.015674941748671525
2021-10-29,0.01085388501872822
2021-11-01,0.006008284831755008
2021-11-02,0.005225061514385114
2021-11-03,0.011373773296508495
2021-11-04,0.031970811076257266
2021-11-05,0.0030784767127222503
2021-11-08,0.0003100738672804011
2021-11-09,-0.01168461029902924
2021-11-10,-0.016825074181255204
2021-11-11,0.006332191151017337
2021-11-12,0.009388192368390407
2021-11-15,-0.0024738205720046032
2021-11-16,0.006309086359597078
2021-11-17,-0.0006479073360296556
2021-11-18,0.02770723662639805
2021-11-19,0.016441635769960394
2021-11-22,-0.012048742575875824
2021-11-23,-0.007643869721940069
2021-11-24,0.008992738063651369
2021-11-26,-0.026946067426722686
2021-11-29,0.029982809133058556
2021-11-30,-0.010616461776252837
2021-12-01,-0.02024798663708686
2021-12-02,0.0043709836669558475
2021-12-03,-0.023969976476165396
2021-12-06,0.005913788627096842
2021-12-07,0.03848396646530325
2021-12-08,0.004310119921082455
2021-12-09,-0.01816296669526648
2021-12-10,0.0077040602386727105
2021-12-13,-0.025092862447986038
2021-12-14,-0.008182418943206222
2021-12-15,0.031864060398097145
2021-12-16,-0.03600300522765396
2021-12-17,-0.00699301537750235
2021-12-20,-0.01239191040779088
2021-12-21,0.02788246774625384
2021-12-22,0.016987161094799672
2021-12-23,0.010786093543440381
2021-12-27,0.022625854892511153
2021-12-28,-0.006404963768399039
2021-12-29,-0.003927503288358395
2021-12-30,-0.006651042549723637
2021-12-31,-0.00897188043555638
2022-01-03,0.02442272713234786
2022-01-04,-0.017359372409377117
2022-01-05,-0.038747822241787196
2022-01-06,0.00016720497837252666
2022-01-07,-0.011754994219000663
2022-01-10,0.003719091681308652
2022-01-11,0.012622700122687265
2022-01-12,0.008154308473388766
2022-01-13,-0.03384727207316855
2022-01-14,0.010718797221861594
2022-01-18,-0.026557193521872677
2022-01-19,-0.015207833644598373
2022-01-20,-0.015731564103571464
2022-01-21,-0.030340781490200284
2022-01-24,0.0016454127916453857
2022-01-25,-0.026133481254900656
2022-01-26,0.009034569965199102
2022-01-27,-0.017489302064918878
2022-01-28,0.035992372501349124
2022-01-31,0.04126865126356833
2022-02-01,0.0045615401181945845
2022-02-02,0.01468570897864098
2022-02-03,-0.06027492799274695
2022-02-04,0.022507509040002694
2022-02-07,-0.009642872983694727
2022-02-08,0.010114573112672918
2022-02-09,0.026532807885430703
2022-02-10,-0.024383342476232823
2022-02-11,-0.03821719172609219
2022-02-14,0.005611784365491051
2022-02-15,0.03445123600732222
2022-02-16,-0.00016698662008476388
2022-02-17,-0.03963993911468899
2022-02-18,-0.01625701123548743
2022-02-22,-0.013841902317893754
2022-02-23,-0.032355148832006055
2022-02-24,0.042025786971455356
2022-02-25,0.013819687619201344
2022-02-28,0.011316600014941072
2022-03-01,-0.018691638912424705
2022-03-02,0.017906188501685474
2022-03-03,-0.017398316974378752
2022-03-04,-0.017457972905137224
2022-03-07,-0.04589674658929796
2022-03-08,0.0008961604211261109
2022-03-09,0.0441739047014231
2022-03-10,-0.008924603432174142
2022-03-11,-0.024431635651067932
2022-03-14,-0.024012428333631135
2022-03-15,0.041667188463117594
2022-03-16,0.04168591783104858
2022-03-17,0.01335591309528854
2022-03-18,0.03311276258695763
2022-03-21,0.0017738707805491384
2022-03-22,0.020140708849437895
2022-03-23,-0.011360164970958158
2022-03-24,0.03348112552591019
2022-03-25,-0.0015000054800309644
2022-03-28,0.02025819055843143
2022-03-29,0.01397368567426828
2022-03-30,-0.012520669698652339
2022-03-31,-0.017246457163603124
2022-04-01,-0.0008719165013871048
2022-04-04,0.02657435809660308
2022-04-05,-0.026806119040377725
2022-04-06,-0.03528473697225571
2022-04-07,-0.00040287597827578196
2022-04-08,-0.02104681770488876
2022-04-11,-0.03500491140272243
2022-04-12,-0.005087353578219149
2022-04-13,0.021977216019085907
2022-04-14,-0.029576413596299964
2022-04-18,0.008750727861835651
2022-04-19,0.020605870729099574
2022-04-20,-0.022964559053070512
2022-04-21,-0.026396212995007655
2022-04-22,-0.0259832153944659
2022-04-25,0.014447260977397751
2022-04-26,-0.04836758591725638
2022-04-27,-0.004410104800099915
2022-04-28,0.052865466026564216
2022-04-29,-0.048804612675190026
2022-05-02,0.026495669046045747
2022-05-03,0.002698798521122348
2022-05-04,0.03631643068882837
2022-05-05,-0.06075148773387919
2022-05-06,-0.008548844503759078
2022-05-09,-0.05238444199256131
2022-05-10,0.01759358970374739
2022-05-11,-0.041683862546534375
2022-05-12,-0.011341782788052548
2022-05-13,0.0472600163074672
2022-05-16,-0.015476221936518219
2022-05-17,0.031321989476861954
2022-05-18,-0.05499402506778056
2022-05-19,-0.004184684064193142
2022-05-20,-0.01127215343837316
2022-05-23,0.019756052847334116
2022-05-24,-0.0356134572733201
2022-05-25,0.02165026073636796
2022-05-26,0.03505017113185047
2022-05-27,0.04028523344407886
2022-05-31,0.000924805197110848
2022-06-01,-0.007847638456469587
2022-06-02,0.035897141776474656
2022-06-03,-0.037240984216372265
2022-06-06,0.008074972581305703
2022-06-07,0.006998351007634273
2022-06-08,-0.005427963081483132
2022-06-09,-0.03035629736350897
2022-06-10,-0.04350861681029084
2022-06-13,-0.05494910177061894
2022-06-14,0.005506811745012661
